"Scenario","SampleSize","Method","Mean","SD","Bias","RMSE","Success_Rate"
"Scenario_5",100,"Stacking-Est2",0.377407901161874,1.04191883067197,-0.622592098838126,1.19119101270915,100
"Scenario_5",200,"Stacking-Est1",0.714527957881088,0.59578899216397,-0.285472042118912,0.647078498990743,100
"Scenario_5",200,"Stacking-Est2",0.711639614827691,0.579837136628884,-0.288360385172309,0.634470063517584,100
"Scenario_5",500,"Stacking-Est1",0.827903605010466,0.224733164439889,-0.172096394989534,0.278562227532021,100
"Scenario_5",500,"Stacking-Est2",0.83045771027674,0.225164391927582,-0.16954228972326,0.277324072570554,100
"Scenario_5",1000,"Stacking-Est1",0.894486744049602,0.118188271784736,-0.105513255950398,0.156214888500884,100
"Scenario_5",1000,"Stacking-Est2",0.893316139293806,0.118957097014085,-0.106683860706194,0.15755855266756,100
"Scenario_5",2000,"Stacking-Est1",0.812000249991793,0.0572563649749319,-0.187999750008207,0.196107834536981,100
"Scenario_5",2000,"Stacking-Est2",0.810327375775132,0.0562693968932276,-0.189672624224868,0.197442743993643,100
"Scenario_5",5000,"Stacking-Est1",0.804045100684957,0.0417181170982583,-0.195954899315043,0.20012921774464,100
"Scenario_5",5000,"Stacking-Est2",0.802875987522405,0.0411076707332429,-0.197124012477595,0.201154728651166,100
"Scenario_5",10000,"Stacking-Est1",0.771338420102416,0.0253630500782894,-0.228661579897584,0.229993996041351,100
"Scenario_5",10000,"Stacking-Est2",0.771094325954379,0.0244800575366433,-0.228905674045621,0.230145860632834,100
