"Scenario","SampleSize","Method","Mean","SD","Bias","RMSE","Success_Rate"
"Scenario_4",500,"Boosting-Est1",1.5201240304009,0.261649958666795,0.520124030400895,0.581051197273872,100
"Scenario_4",500,"Boosting-Est2",1.5400433192966,0.291712275466609,0.540043319296599,0.612405843654057,100
"Scenario_4",1000,"Boosting-Est1",1.39623925347435,0.153830517451636,0.396239253474352,0.42449510896047,100
"Scenario_4",1000,"Boosting-Est2",1.40065713910614,0.154363305995167,0.400657139106144,0.428809529686226,100
"Scenario_4",2000,"Boosting-Est1",1.21219727174393,0.0720166763631733,0.212197271743926,0.223853424759318,100
"Scenario_4",2000,"Boosting-Est2",1.21274569757014,0.0718616823871236,0.212745697570143,0.224324655805385,100
"Scenario_4",5000,"Boosting-Est1",1.09980642920775,0.0466538566398039,0.099806429207747,0.109974424316661,100
"Scenario_4",5000,"Boosting-Est2",1.10111214366503,0.0471912376347007,0.101112143665027,0.111382845393004,100
"Scenario_4",10000,"Boosting-Est1",1.06543297412546,0.0346614664186156,0.0654329741254589,0.0738841188084829,100
"Scenario_4",10000,"Boosting-Est2",1.06401191872168,0.0324840568960134,0.0640119187216845,0.0716354340519167,100
"Scenario_5",100,"Boosting-Est1",-5.97855887472844,3.53114747118924,-6.97855887472844,7.55069217204016,6
"Scenario_5",100,"Boosting-Est2",-3.35868695100049,4.7140894423084,-4.35868695100049,5.81491571594501,6
"Scenario_5",200,"Boosting-Est1",-6.05636221965624,1.86330033317728,-7.05636221965624,7.2717515468182,18
"Scenario_5",200,"Boosting-Est2",-5.37153264023147,1.84088230353174,-6.37153264023147,6.60369118089325,18
"Scenario_5",500,"Boosting-Est1",-6.48018231154678,1.85982827926523,-7.48018231154678,7.69816205491336,46
"Scenario_5",500,"Boosting-Est2",-6.52187663323979,1.7947844112283,-7.52187663323979,7.72397726392064,46
"Scenario_5",1000,"Boosting-Est1",-6.95654856157671,1.76649984101673,-7.95654856157671,8.14524816744357,76
"Scenario_5",1000,"Boosting-Est2",-6.86018675726496,1.70986017349778,-7.86018675726496,8.0392300785503,76
"Scenario_5",2000,"Boosting-Est1",-4.73694475832276,1.52762568812066,-5.73694475832276,5.93291687099971,100
"Scenario_5",2000,"Boosting-Est2",-4.73819364623666,1.5710908229991,-5.73819364623666,5.94523558560471,100
"Scenario_5",5000,"Boosting-Est1",-2.3554457596426,1.04559574685868,-3.3554457596426,3.5114699631971,100
"Scenario_5",5000,"Boosting-Est2",-2.36091187400462,1.05145901364193,-3.36091187400462,3.51840636667323,100
"Scenario_5",10000,"Boosting-Est1",-1.38558928787611,0.566091048192571,-2.38558928787611,2.4505277276081,100
"Scenario_5",10000,"Boosting-Est2",-1.39093328826239,0.564354779220452,-2.39093328826239,2.45533875044027,100
