"Scenario","SampleSize","Method","Mean","SD","Bias","RMSE","Success_Rate"
"Scenario_3",10000,"Stacking-Est1",0.99521435871548,0.0248769576477998,-0.00478564128451986,0.0247148180900448,100
"Scenario_3",10000,"Stacking-Est2",0.995093113585204,0.0249756529820643,-0.00490688641479553,0.0248328736571943,100
"Scenario_4",100,"Stacking-Est1",0.770405774990488,0.529043704366064,-0.229594225009512,0.564452289596399,100
"Scenario_4",100,"Stacking-Est2",0.810090440493046,0.448953503753423,-0.189909559506954,0.477018790927544,100
"Scenario_4",200,"Stacking-Est1",0.902728250585125,0.204292950942332,-0.097271749414875,0.221609166210967,100
"Scenario_4",200,"Stacking-Est2",0.910050382117784,0.214008239074663,-0.089949617882216,0.227157398799605,100
"Scenario_4",500,"Stacking-Est1",0.974250496414827,0.108692228528169,-0.0257495035851734,0.109024480967266,100
"Scenario_4",500,"Stacking-Est2",0.97539533287765,0.102793493225173,-0.0246046671223498,0.103167663447243,100
"Scenario_4",1000,"Stacking-Est1",0.965471496813698,0.0676990855976555,-0.0345285031863017,0.0744729844541441,100
"Scenario_4",1000,"Stacking-Est2",0.964523041852877,0.0683338362312153,-0.035476958147123,0.0754629185411189,100
"Scenario_4",2000,"Stacking-Est1",0.976586779039042,0.0505551093541242,-0.0234132209609579,0.0545546244005375,100
"Scenario_4",2000,"Stacking-Est2",0.976287331100686,0.0484576657098178,-0.0237126688993141,0.0528491131814974,100
"Scenario_4",5000,"Stacking-Est1",0.983822775414649,0.031055141120373,-0.0161772245853509,0.0343205957959772,100
"Scenario_4",5000,"Stacking-Est2",0.983681086991471,0.0313339947784644,-0.0163189130085287,0.034627087505563,100
"Scenario_4",10000,"Stacking-Est1",0.990056612277351,0.01906819992599,-0.00994338772264935,0.0210781259935409,100
"Scenario_4",10000,"Stacking-Est2",0.990100437330767,0.0189903581756949,-0.0098995626692332,0.020990554054174,100
"Scenario_5",100,"Stacking-Est1",0.793338714064143,0.930364169901969,-0.206661285935857,0.930057794607503,100
"Scenario_5",100,"Stacking-Est2",0.840353576720399,0.789349503295672,-0.159646423279601,0.785751860895943,100
"Scenario_5",200,"Stacking-Est1",1.01356788486752,0.438143357393351,0.0135678848675167,0.427264799680831,100
"Scenario_5",200,"Stacking-Est2",1.02110885182018,0.47020758582868,0.0211088518201807,0.458787531115941,100
"Scenario_5",500,"Stacking-Est1",1.17910947089187,0.274225079014563,0.179109470891867,0.32174466091247,100
"Scenario_5",500,"Stacking-Est2",1.17643794206113,0.276469079978579,0.176437942061133,0.322092753680922,100
"Scenario_5",1000,"Stacking-Est1",1.04592132424301,0.159528342465735,0.0459213242430065,0.162128330243677,100
"Scenario_5",1000,"Stacking-Est2",1.04847534536915,0.164294091986607,0.048475345369146,0.167310431047429,100
"Scenario_5",2000,"Stacking-Est1",1.02410865968325,0.0860224203781676,0.0241086596832523,0.0872415694440165,100
"Scenario_5",2000,"Stacking-Est2",1.02292972402039,0.0879573172189817,0.0229297240203876,0.0887436612575439,100
"Scenario_5",5000,"Stacking-Est1",1.05156189920942,0.0522645696235445,0.0515618992094222,0.0724819662131225,100
"Scenario_5",5000,"Stacking-Est2",1.05100025116974,0.0522897126208104,0.0510002511697394,0.0721008249817232,100
"Scenario_5",10000,"Stacking-Est1",1.02591914621225,0.0486544712701959,0.0259191462122523,0.0540434717262439,100
"Scenario_5",10000,"Stacking-Est2",1.02624849317742,0.0485113453406375,0.0262484931774154,0.0540801857384521,100
